period,Company,Symbol,Open,Highest,Lowest,Close,Change,Change %,Volume Traded,Value Traded
9 Months,BURUJ,,18.84,21.18,14.62,16.01,-2.83,-15.02,"12,353,444","1,872,712.11"
9 Months,MARAFIQ,,46.35,48.2,36.5,39.42,-6.93,-14.95,"62,379,819","7,027,215.26"
9 Months,BJAZ,,13.74,14.18,11.14,11.69,-2.05,-14.92,"548,448,941","40,661,642.05"
9 Months,GIG,,26.85,27.9,22.04,22.86,-3.99,-14.86,"21,221,545","1,091,518.65"
9 Months,SHAKER,,26.85,31.55,22.35,22.9,-3.95,-14.71,"53,606,490","7,617,291.78"
9 Months,SEDCO CAPITAL REIT,,7.56,7.77,6.14,6.45,-1.11,-14.68,"34,834,406","1,757,728.13"
9 Months,SGS,,46.25,53.5,38.7,39.5,-6.75,-14.59,"70,280,449","21,411,956.42"
9 Months,GAS,,16.24,17.99,13.4,13.88,-2.36,-14.53,"16,074,608","1,645,289.20"
9 Months,CHEMICAL,,8.16,9.3,6.06,6.99,-1.17,-14.34,"1,041,097,038","25,416,319.32"
9 Months,NAHDI,,115.80,132.1,95.6,99.3,-16.5,-14.25,"45,451,399","23,643,278.75"
9 Months,TAWUNIYA,,144.20,161,114.2,124,-20.2,-14.01,"66,611,056","27,352,734.90"
9 Months,ALKATHIRI,,2.28,2.52,1.86,1.97,-0.31,-13.60,"311,516,593","974,660.15"
9 Months,SAUDI CEMENT,,40.90,46.7,35.14,35.34,-5.56,-13.59,"34,395,015","7,830,075.64"
9 Months,ASLAK,,25.10,26.5,19.84,21.71,-3.39,-13.51,"12,649,520","341,554.88"
9 Months,CARE,,166.80,183.5,139.2,144.5,-22.3,-13.37,"17,263,715","6,618,680.80"
9 Months,BUPA ARABIA,,172.40,186.2,140.6,149.7,-22.7,-13.17,"28,586,344","18,489,031.00"
9 Months,SAUDI ELECTRICITY,,16.10,16.16,13.72,13.99,-2.11,-13.11,"293,173,653","29,119,729.06"
9 Months,ALAHLI REIT 1,,7.23,7.35,6.05,6.29,-0.94,-13.00,"11,987,250","250,452.87"
9 Months,SABIC,,62.60,65.8,53,54.5,-8.1,-12.94,"317,754,564","64,733,359.75"
9 Months,YANSAB,,34.45,37.28,28.25,30.02,-4.43,-12.86,"87,253,121","14,042,094.52"
9 Months,AWPT,,156.20,172.4,122.9,136.3,-19.9,-12.74,"12,603,572","4,782,518.70"
9 Months,SAUDI KAYAN,,5.92,6.41,4.46,5.17,-0.75,-12.67,"1,059,746,613","12,476,082.09"
9 Months,GASCO,,92.40,96.4,65.8,80.95,-11.45,-12.39,"14,570,869","1,018,718.25"
9 Months,ALASEEL,,3.82,4.3,3.3,3.35,-0.47,-12.30,"130,514,177","1,425,079.15"
9 Months,ALARABIA,,136.80,139,79.7,120,-16.8,-12.28,"52,439,085","60,733,634.80"
9 Months,RIBL,,30.40,33.2,25.3,26.8,-3.6,-11.84,"403,311,799","92,442,095.36"
9 Months,SAL,,192.00,212.4,156,170.3,-21.7,-11.30,"32,735,076","12,211,611.70"
9 Months,ARTEX,,12.88,14.78,11.1,11.44,-1.44,-11.18,"20,140,328","1,607,759.08"
9 Months,MEFIC REIT,,3.95,4.11,3.4,3.51,-0.44,-11.14,"33,973,964","455,023.43"
9 Months,ALUJAIN,,33.20,40.05,29.16,29.64,-3.56,-10.72,"52,678,416","2,273,880.98"
9 Months,SADR,,3.05,3.21,2.58,2.73,-0.32,-10.49,"275,541,333","1,298,016.62"
9 Months,MRNA,,11.22,12.73,9.88,10.05,-1.17,-10.43,"25,725,267","296,937.73"
9 Months,SAB,,35.50,38,29.9,31.82,-3.68,-10.37,"343,866,447","73,660,377.88"
9 Months,AZM,,28.60,31.7,22.67,25.66,-2.94,-10.28,"23,501,682","7,213,340.46"
9 Months,BUDGET SAUDI,,74.30,83.4,64,66.7,-7.6,-10.23,"37,456,090","4,212,815.60"
9 Months,SAUDI RE,,31.52,37.25,25.45,28.3,-3.22,-10.22,"181,714,846","27,136,781.54"
9 Months,SACO,,30.65,34.8,25.3,27.58,-3.07,-10.02,"24,483,880","3,142,013.86"
9 Months,KEC,,13.44,15.78,11.62,12.1,-1.34,-9.97,"73,451,476","932,277.39"
9 Months,GACO,,17.94,19.55,15.12,16.2,-1.74,-9.70,"18,403,116","421,095.98"
9 Months,SPM,,61.10,72.2,48.3,55.5,-5.6,-9.17,"27,147,527","5,184,562.00"
9 Months,NCLE,,170.00,183,138.2,155,-15,-8.82,"5,937,702","12,323,386.70"
9 Months,AVALON PHARMA,,131.20,139,108,120.4,-10.8,-8.23,"5,976,057","3,259,238.00"
9 Months,EXTRA,,95.00,98,83.4,87.25,-7.75,-8.16,"45,957,356","9,126,566.30"
9 Months,MULKIA REIT,,5.04,5.52,4.45,4.65,-0.39,-7.74,"21,011,242","99,984.86"
9 Months,THIMAR,,41.90,50.85,31.72,38.74,-3.16,-7.54,"61,453,373","2,028,945.98"
9 Months,SAUDI ARAMCO,,26.30,26.75,23.04,24.34,-1.96,-7.45,"2,286,004,407","151,402,212.68"
9 Months,NAYIFAT,,13.72,14.26,11.54,12.7,-1.02,-7.43,"51,599,686","247,234.13"
9 Months,MAADANIYAH,,15.26,18.5,12.52,14.26,-1,-6.55,"45,907,790","844,055.78"
9 Months,SPORT CLUBS,,9.30,13.46,7.59,8.7,-0.6,-6.45,"1,017,622,999","11,081,899.15"
9 Months,BCI,,28.35,29.4,24.52,26.62,-1.73,-6.10,"7,646,228","663,277.84"
9 Months,FOURTH MILLING,,3.97,4.23,3.34,3.73,-0.24,-6.05,"273,784,311","442,991.97"
9 Months,SAIB,,14.10,15.28,12.85,13.25,-0.85,-6.03,"108,738,288","4,329,370.13"
9 Months,JAMJOOM PHARMA,,156.00,183.8,134,146.6,-9.4,-6.03,"11,836,465","7,179,451.80"
9 Months,AMLAK,,12.32,13.9,9.3,11.58,-0.74,-6.01,"73,911,347","1,653,858.83"
9 Months,LAZURDE,,12.42,14.4,11.44,11.78,-0.64,-5.15,"47,918,623","809,250.92"
9 Months,MUSHARAKA REIT,,4.37,5.06,3.99,4.15,-0.22,-5.03,"24,637,873","205,846.72"
9 Months,MOUWASAT,,72.80,80.7,65.6,69.35,-3.45,-4.74,"94,312,293","30,511,117.75"
9 Months,MASAR,,19.50,26.98,16.5,18.6,-0.9,-4.62,"771,515,011","34,129,677.05"
9 Months,STC,,44.20,48.3,40.7,42.38,-1.82,-4.12,"668,306,706","184,265,266.12"
9 Months,BONYAN REIT,,9.52,9.69,8.88,9.15,-0.37,-3.89,"15,344,916","636,306.91"
9 Months,MIAHONA,,20.40,28.14,16.62,19.62,-0.78,-3.82,"239,665,796","4,329,611.42"
9 Months,DALLAH HEALTH,,129.40,157.3,109,124.6,-4.8,-3.71,"14,472,370","7,502,766.10"
9 Months,ALRAJHI,,101.80,113,87.8,98.3,-3.5,-3.44,"656,272,646","283,492,195.35"
9 Months,DERAYAH REIT,,5.52,5.95,5.04,5.34,-0.18,-3.26,"22,800,480","527,383.83"
9 Months,LUBEREF,,102.20,108,81.3,98.95,-3.25,-3.18,"49,477,439","62,990,086.45"
9 Months,ATAA,,62.50,75.8,58,60.8,-1.7,-2.72,"7,487,075","3,445,818.80"
9 Months,AL MAATHER REIT,,9.20,10.1,8.81,8.95,-0.25,-2.72,"10,374,956","649,535.13"
9 Months,ALDREES,,135.00,154.1,109.6,131.4,-3.6,-2.67,"58,067,753","29,497,673.40"
9 Months,ALINMA RETAIL REIT,,4.54,4.92,4.31,4.42,-0.12,-2.64,"30,309,527","622,407.49"
9 Months,BSF,,17.00,18.94,15.49,16.59,-0.41,-2.41,"417,532,567","24,546,615.27"
9 Months,DWF,,117.20,149.7,93,114.6,-2.6,-2.22,"9,292,011","2,512,485.60"
9 Months,SULAIMAN ALHABIB,,262.60,290.6,227.7,257.4,-5.2,-1.98,"36,248,051","26,139,786.40"
9 Months,Al RAJHI REIT,,8.23,8.56,8.03,8.08,-0.15,-1.82,"38,466,566","1,084,050.53"
9 Months,ALKHABEER REIT,,5.69,6.09,5.51,5.59,-0.1,-1.76,"27,418,918","410,532.43"
9 Months,MAHARAH,,5.75,6.23,4.39,5.65,-0.1,-1.74,"437,053,956","9,205,689.68"
9 Months,EAST PIPES,,141.60,157.6,100.2,139.2,-2.4,-1.69,"30,500,631","20,099,031.60"
9 Months,ALMASAR ALSHAMIL,,23.09,24.48,18.33,22.7,-0.39,-1.69,"55,337,905","68,394,585.53"
9 Months,ALINMA HOSPITALITY REIT,,8.30,8.5,7.8,8.18,-0.12,-1.45,"28,327,732","252,146.83"
9 Months,SPIMACO,,28.10,31.06,20.94,27.74,-0.36,-1.28,"79,424,321","4,881,383.58"
9 Months,CENOMI CENTERS,,20.10,23.52,18.32,19.85,-0.25,-1.24,"255,933,054","12,228,398.43"
9 Months,ZAIN KSA,,10.76,13.36,10.02,10.65,-0.11,-1.02,"631,817,952","7,458,466.41"
6 Months,EIC,,7.81,12.24,6.86,12.2,4.39,56.21,"618,926,487","67,566,065.76"
6 Months,RASAN,,83.20,122,74.1,119.3,36.1,43.39,"62,015,980","79,039,417.60"
6 Months,AMAK,,61.30,84.15,53.5,84.1,22.8,37.19,"38,984,166","75,069,879.35"
6 Months,ALBABTAIN,,53.10,69.85,46.55,69,15.9,29.94,"65,595,552","36,013,212.50"
6 Months,ADES,,13.48,17.85,12.16,17.14,3.66,27.15,"352,547,747","49,155,859.45"
6 Months,BAHRI,,24.76,32.5,21.08,30.68,5.92,23.91,"87,640,112","13,024,909.44"
6 Months,ABO MOATI,,36.90,53.95,31.6,44,7.1,19.24,"52,499,322","23,356,105.34"
6 Months,EAST PIPES,,117.00,146.6,100.2,139.2,22.2,18.97,"22,397,524","20,099,031.60"
6 Months,SABIC AGRI-NUTRIENTS,,98.50,125.7,95,117.1,18.6,18.88,"78,837,216","32,662,730.30"
6 Months,SEERA,,23.28,31.6,20.68,27.2,3.92,16.84,"119,540,465","11,065,214.24"
6 Months,ETIHAD ETISALAT,,58.00,69,54.6,66.9,8.9,15.34,"127,487,438","84,403,803.00"
6 Months,BAAZEEM,,5.50,7.1,4.84,6.29,0.79,14.36,"60,166,178","1,944,195.71"
6 Months,ARABIAN DRILLING,,81.80,96.95,72,93,11.2,13.69,"34,462,685","11,976,797.75"
6 Months,MAADEN,,52.00,68.45,46.8,59,7,13.46,"226,840,785","96,193,269.85"
6 Months,ALARABIA,,106.60,124.5,79.7,120,13.4,12.57,"34,899,420","60,733,634.80"
6 Months,MIS,,140.80,162.8,125,158.3,17.5,12.43,"6,797,417","6,851,037.10"
6 Months,DERAYAH,,26.00,32,23.04,29.14,3.14,12.08,"72,584,446","4,317,469.18"
6 Months,MAHARAH,,5.07,5.84,4.39,5.65,0.58,11.44,"319,638,123","9,205,689.68"
6 Months,SISCO HOLDING,,29.15,38.38,23.5,32.26,3.11,10.67,"67,178,550","6,724,736.74"
6 Months,AMLAK,,10.56,13.9,9.3,11.58,1.02,9.66,"65,895,789","1,653,858.83"
6 Months,ALMOOSA,,156.20,212,143,170.9,14.7,9.41,"6,090,918","1,935,069.50"
6 Months,SPIMACO,,25.50,31.06,21.76,27.74,2.24,8.78,"45,745,976","4,881,383.58"
6 Months,ANB,,20.90,26.26,20.2,22.6,1.7,8.13,"190,139,192","21,697,718.13"
6 Months,PETRO RABIGH,,7.00,9.48,6.26,7.55,0.55,7.86,"714,320,253","9,258,973.78"
6 Months,NAQI,,53.70,59.15,49.06,57.75,4.05,7.54,"4,718,637","6,234,105.80"
6 Months,JADWA REIT SAUDI,,10.08,11.38,9.8,10.84,0.76,7.54,"23,707,611","1,197,806.49"
6 Months,SNB,,35.00,41,33.3,37.62,2.62,7.49,"576,245,159","315,073,752.30"
6 Months,GASCO,,75.70,90,65.8,80.95,5.25,6.94,"9,228,987","1,018,718.25"
6 Months,ALDREES,,123.20,154.1,109.6,131.4,8.2,6.66,"40,427,914","29,497,673.40"
6 Months,DWF,,107.80,149.7,93,114.6,6.8,6.31,"6,965,652","2,512,485.60"
6 Months,ALYAMAMAH STEEL,,31.20,39.5,26.5,33,1.8,5.77,"46,213,406","3,428,612.10"
6 Months,ALRAJHI,,93.70,113,88.1,98.3,4.6,4.91,"424,251,517","283,492,195.35"
6 Months,SAMBA,,36.80,39.1,36.5,38.5,1.7,4.62,"10,917,458","343,828,273.55"
6 Months,SAUDI KAYAN,,4.96,6.41,4.46,5.17,0.21,4.23,"897,524,840","12,476,082.09"
6 Months,CHERRY,,26.40,29.54,25.9,27.5,1.1,4.17,"26,902,594","32,686,176.40"
6 Months,DALLAH HEALTH,,120.60,157.3,109,124.6,4,3.32,"8,557,853","7,502,766.10"
6 Months,MAADANIYAH,,13.82,18.5,12.54,14.26,0.44,3.18,"38,612,546","844,055.78"
6 Months,TASNEE,,9.25,11.94,8.57,9.52,0.27,2.92,"244,359,571","5,489,400.38"
6 Months,THIMAR,,37.90,50.85,31.72,38.74,0.84,2.22,"52,554,722","2,028,945.98"
6 Months,CENOMI CENTERS,,19.44,23.52,18.32,19.85,0.41,2.11,"199,774,053","12,228,398.43"
6 Months,TALEEM REIT,,9.93,10.55,9.21,10.11,0.18,1.81,"7,616,697","965,438.15"
6 Months,BCI,,26.15,29.16,24.52,26.62,0.47,1.80,"4,965,948","663,277.84"
6 Months,ADVANCED,,29.50,38.64,27.7,30.02,0.52,1.76,"81,688,896","27,130,259.96"
6 Months,YANSAB,,29.50,37.28,28.25,30.02,0.52,1.76,"59,115,495","14,042,094.52"
6 Months,JARIR,,12.50,14.56,12,12.65,0.15,1.20,"200,399,499","38,796,717.93"
6 Months,SAUDI CABLE,,135.40,160,119.2,137,1.6,1.18,"6,260,735","6,621,997.30"
6 Months,Sahara,,17.26,17.48,16.7,17.46,0.2,1.16,"6,375,356","67,130,506.54"
6 Months,BAWAN,,49.75,61.85,42.25,50.2,0.45,0.90,"24,948,710","4,304,608.85"
6 Months,NAYIFAT,,12.62,14.18,11.8,12.7,0.08,0.63,"36,948,230","247,234.13"
6 Months,ALBILAD,,25.85,30.16,23.38,26,0.15,0.58,"205,973,659","36,956,981.82"
6 Months,BONYAN REIT,,9.10,9.69,8.88,9.15,0.05,0.55,"10,690,094","636,306.91"
6 Months,WAFA Insurance,,9.50,10,9.3,9.5,0,0.00,"915,571","8,767,344.86"
6 Months,ATC,,34.00,34.35,33.25,34,0,0.00,"871,494","8,968,049.20"
6 Months,MMG,,12.55,12.9,11.8,12.55,0,0.00,"5,310,626","66,213,259.00"
6 Months,METLIFE AIG ANB,,14.30,15.4,14.02,14.3,0,0.00,"1,191,763","17,571,429.72"
6 Months,SANAD,,15.23,17.75,14.75,15.23,0,0.00,"1,572,218","25,722,117.10"
6 Months,ALAHLIA,,14.76,15.02,14.5,14.76,0,0.00,"1,119,353","16,457,121.40"
6 Months,PETROCHEM,,45.45,46,45.4,45.45,0,0.00,"102,240","4,661,416.70"
6 Months,SOLIDARITY,,14.20,14.52,14.16,14.2,0,0.00,"636,038","9,053,258.36"
6 Months,Weqaya Takaful,,19.39,19.75,19.15,19.39,0,0.00,"1,694,478","32,930,031.50"
6 Months,ALKHODARI,,5.39,5.76,5.18,5.39,0,0.00,"4,609,164","25,244,810.49"
6 Months,DUR,,27.00,27.1,26.4,27,0,0.00,"162,456","4,338,476.30"
6 Months,Bishah Agriculture,,69.75,81,69.75,69.75,0,0.00,"4,570,725","339,704,400.75"
6 Months,HCC,,11.60,11.7,11.54,11.6,0,0.00,"1,029,618","11,976,960.50"
6 Months,ALINMA TOKIO M,,12.80,12.84,12.06,12.8,0,0.00,"765,899","9,519,564.54"
6 Months,SABB TAKAFUL,,11.50,11.98,11.5,11.5,0,0.00,"539,556","6,349,103.58"
6 Months,ALAWWAL,,19.58,19.58,19,19.58,0,0.00,"1,587,561","30,693,634.94"
6 Months,CGS,,10.08,10.79,9.7,10.08,0,0.00,"19,186,021","192,514,160.53"
6 Months,UCA,,7.23,7.61,3.56,3.62,-3.61,-49.93,"50,270,555","1,649,977.88"
6 Months,NASEEJ,,82.90,110.8,42,42.6,-40.3,-48.61,"39,162,257","5,180,261.26"
6 Months,NICE ONE,,32.90,35.28,19.02,19.28,-13.62,-41.40,"103,145,295","7,127,220.34"
6 Months,JAHEZ,,27.45,28.46,15.23,16.12,-11.33,-41.28,"186,702,381","13,545,756.45"
6 Months,ALETIHAD,,13.90,14.27,8.38,8.6,-5.3,-38.13,"12,585,728","487,222.62"
6 Months,SAUDI GERMAN HEALTH,,57.80,60.7,36.5,36.98,-20.82,-36.02,"46,701,074","29,391,628.32"
6 Months,ALAKARIA,,20.40,21.07,12.77,13.14,-7.26,-35.59,"118,104,399","4,471,253.88"
6 Months,SAUDI DARB,,3.61,3.69,2.3,2.33,-1.28,-35.46,"623,591,918","2,423,891.81"
6 Months,TANMIAH,,97.10,98.9,59.1,63.5,-33.6,-34.60,"11,267,089","3,982,808.05"
6 Months,GULF GENERAL,,6.42,6.6,4.2,4.28,-2.14,-33.33,"48,045,095","255,929.43"
6 Months,MEDGULF,,19.54,20.75,12.8,13.08,-6.46,-33.06,"146,711,136","6,812,895.55"
6 Months,WALAA,,17.70,18.1,10.8,11.96,-5.74,-32.43,"123,234,351","2,295,928.95"
6 Months,SFICO,,100.00,107,67.6,68.1,-31.9,-31.90,"9,527,936","2,153,162.85"
6 Months,UCIC,,39.40,41.05,26.16,26.9,-12.5,-31.73,"45,467,097","1,397,414.46"
6 Months,TAPRCO,,26.19,31,17.61,17.91,-8.28,-31.62,"29,415,240","1,887,468.31"
6 Months,YC,,35.35,36.8,22.59,24.2,-11.15,-31.54,"51,544,504","27,245,125.15"
6 Months,ALDAWAA,,79.60,80.05,54,54.55,-25.05,-31.47,"17,865,341","5,509,440.45"
6 Months,ACIG,,12.54,12.98,8.63,8.76,-3.78,-30.14,"57,373,860","2,262,855.53"
6 Months,SIDC,,16.64,22.98,11.55,11.66,-4.98,-29.93,"51,999,671","15,711,740.85"
6 Months,CATRION,,116.60,126.4,80.15,82,-34.6,-29.67,"17,833,389","10,710,387.90"
6 Months,OBEIKAN GLASS,,37.00,41.6,24.59,26.14,-10.86,-29.35,"25,862,148","3,649,110.60"
6 Months,SAIC,,25.70,29.18,17.75,18.2,-7.5,-29.18,"39,071,953","3,126,903.35"
6 Months,BUILD STATION,,80.80,93,56.95,57.7,-23.1,-28.59,"28,751,969","2,679,956.30"
6 Months,MESC,,32.00,35.2,22.28,23,-9,-28.13,"59,188,247","12,426,328.81"
6 Months,ALAMAR,,59.30,60.9,41,43.08,-16.22,-27.35,"18,847,977","1,653,439.28"
6 Months,ALRAJHI TAKAFUL,,118.20,132.8,84,86.2,-32,-27.07,"21,486,966","9,448,268.75"
6 Months,CITY CEMENT,,17.48,17.96,12.56,12.77,-4.71,-26.95,"36,395,448","6,950,852.09"
6 Months,JABAL OMAR,,21.06,21.98,14.83,15.45,-5.61,-26.64,"471,983,619","24,033,660.01"
6 Months,MBC GROUP,,43.75,44.4,27.56,32.1,-11.65,-26.63,"239,779,950","5,130,531.80"
6 Months,MALATH INSURANCE,,13.58,14,9.88,10,-3.58,-26.36,"23,278,569","2,250,054.17"
6 Months,HERFY FOODS,,21.86,26.36,15.5,16.15,-5.71,-26.12,"25,287,067","2,855,233.47"
6 Months,GULF UNION ALAHLIA,,15.56,15.64,10.86,11.51,-4.05,-26.03,"13,919,746","743,879.00"
6 Months,SAPTCO,,13.90,15,10.08,10.29,-3.61,-25.97,"68,995,065","3,015,898.14"
6 Months,DAR ALARKAN,,20.40,20.97,15,15.15,-5.25,-25.74,"171,656,099","22,999,176.48"
6 Months,AMANA INSURANCE,,8.32,9.27,6,6.18,-2.14,-25.72,"29,001,004","658,476.86"
6 Months,UACC,,17.00,17.26,12.29,12.73,-4.27,-25.12,"10,677,582","2,705,109.17"
6 Months,SSP,,55.90,58.75,39.8,42.02,-13.88,-24.83,"21,577,317","3,284,948.76"
6 Months,ACWA POWER,,253.40,274.8,186.2,191,-62.4,-24.63,"58,112,847","67,387,701.00"
6 Months,ARABIAN SHIELD,,15.78,16.58,11.25,11.9,-3.88,-24.59,"20,092,053","734,411.46"
6 Months,RIYADH CEMENT,,32.80,33,22.98,24.76,-8.04,-24.51,"35,286,044","8,520,554.29"
6 Months,EPCCO,,31.40,32.06,23,23.73,-7.67,-24.43,"23,669,690","3,148,900.34"
6 Months,SPCC,,29.40,30,21,22.24,-7.16,-24.35,"10,641,007","633,725.00"
6 Months,CHEMANOL,,11.88,13.96,8.59,8.99,-2.89,-24.33,"54,101,351","1,263,932.66"
6 Months,HB,,44.05,47.76,32.9,33.46,-10.59,-24.04,"11,679,353","486,390.64"
6 Months,ALHAMMADI,,37.65,38.8,28.4,28.62,-9.03,-23.98,"39,307,192","4,478,233.82"
6 Months,SALAMA,,12.70,14.34,9.6,9.68,-3.02,-23.78,"26,893,660","718,928.36"
6 Months,WATANIYA,,17.26,18.32,12.87,13.17,-4.09,-23.70,"27,371,180","2,105,985.69"
6 Months,ENTAJ,,44.75,45.7,32.9,34.2,-10.55,-23.58,"22,734,392","1,838,129.70"
6 Months,ALMAJDIAH,,13.83,14.46,9.97,10.58,-3.25,-23.50,"186,725,610","5,777,213.43"
6 Months,APC,,6.60,6.81,4.93,5.05,-1.55,-23.48,"448,701,304","6,281,034.58"
6 Months,JOUF CEMENT,,8.69,8.71,6.39,6.7,-1.99,-22.90,"48,023,824","1,173,952.22"
6 Months,ALMUNAJEM,,69.30,79.5,53,53.45,-15.85,-22.87,"22,598,559","1,658,397.25"
6 Months,SPPC,,10.86,13.87,8,8.38,-2.48,-22.84,"57,309,999","631,202.40"
6 Months,ARDCO,,32.40,35.92,24.51,25.08,-7.32,-22.59,"25,789,989","1,761,561.17"
6 Months,ENAYA,,9.26,10.43,7.16,7.2,-2.06,-22.25,"22,600,895","579,575.36"
6 Months,TECO,,15.80,24.4,12.14,12.29,-3.51,-22.22,"331,782,658","4,574,526.60"
6 Months,SIIG,,17.20,20,13.1,13.49,-3.71,-21.57,"138,767,503","12,750,240.28"
6 Months,WAFRAH,,28.60,30.7,21.67,22.44,-6.16,-21.54,"12,150,820","561,851.07"
6 Months,NAHDI,,126.20,132.1,95.6,99.3,-26.9,-21.32,"27,428,921","23,643,278.75"
6 Months,ANAAM HOLDING,,15.70,17.52,12.21,12.36,-3.34,-21.27,"74,722,404","1,103,796.93"
6 Months,ALANDALUS,,22.66,23.08,16.7,17.87,-4.79,-21.14,"10,014,219","353,043.31"
6 Months,YCC,,20.38,20.88,15.18,16.12,-4.26,-20.90,"56,968,914","18,610,761.33"
6 Months,ALUJAIN,,37.30,38.3,29.16,29.64,-7.66,-20.54,"31,102,317","2,273,880.98"
6 Months,SAICO,,15.28,15.89,11.84,12.15,-3.13,-20.48,"14,839,247","422,283.91"
6 Months,A.OTHAIM MARKET,,8.02,8.15,6.3,6.4,-1.62,-20.20,"171,370,155","17,618,013.72"
6 Months,SVCP,,28.70,32.42,21.95,22.97,-5.73,-19.97,"5,007,882","749,665.85"
6 Months,MUTAKAMELA,,15.02,17.17,11.28,12.07,-2.95,-19.64,"15,593,351","966,953.06"
6 Months,MIAHONA,,24.38,28.14,18.75,19.62,-4.76,-19.52,"152,463,841","4,329,611.42"
6 Months,AMERICANA,,2.21,2.43,1.76,1.79,-0.42,-19.00,"3,704,305,867","31,902,913.65"
6 Months,AMIANTIT,,21.22,23.6,16.55,17.2,-4.02,-18.94,"58,209,682","1,815,682.38"
6 Months,QACCO,,51.30,51.7,40.5,41.6,-9.7,-18.91,"28,669,707","9,611,848.70"
6 Months,SMC HEALTHCARE,,24.16,25,17.62,19.6,-4.56,-18.87,"141,433,285","6,220,965.61"
6 Months,NAJRAN CEMENT,,8.40,8.46,6.79,6.82,-1.58,-18.81,"32,521,720","2,200,334.58"
6 Months,ALKHALEEJ TRNG,,26.00,29.38,20.24,21.11,-4.89,-18.81,"27,994,280","3,587,388.64"
6 Months,TADCO,,10.58,11.94,8.22,8.61,-1.97,-18.62,"14,210,639","293,175.08"
6 Months,MASAR,,22.78,26.98,17.96,18.6,-4.18,-18.35,"336,040,928","34,129,677.05"
6 Months,FARM SUPERSTORES,,18.22,18.6,14.04,14.93,-3.29,-18.06,"10,253,332","231,815.54"
6 Months,FITAIHI GROUP,,3.55,3.75,2.85,2.91,-0.64,-18.03,"198,484,099","1,408,117.76"
6 Months,TAKWEEN,,7.80,8.67,6.15,6.42,-1.38,-17.69,"32,077,127","282,008.00"
6 Months,ALASEEL,,4.05,4.24,3.3,3.35,-0.7,-17.28,"85,181,589","1,425,079.15"
6 Months,FAKEEH CARE,,42.90,43.3,35.32,35.52,-7.38,-17.20,"39,716,885","8,341,271.40"
6 Months,NAMA CHEMICALS,,27.70,29.48,22.65,22.98,-4.72,-17.04,"7,267,848","4,221,940.95"
6 Months,BINDAWOOD,,5.86,6.69,4.54,4.87,-0.99,-16.89,"105,583,801","2,358,276.74"
6 Months,RETAL,,15.00,16.43,10.88,12.47,-2.53,-16.87,"166,582,130","19,250,498.31"
6 Months,ARAB SEA,,5.35,5.78,4.31,4.45,-0.9,-16.82,"92,924,261","862,072.05"
6 Months,FLYNAS,,77.30,84.1,60.25,64.5,-12.8,-16.56,"132,817,939","14,963,617.30"
6 Months,ALSAGR INSURANCE,,12.40,15.1,10.1,10.35,-2.05,-16.53,"53,763,497","1,214,445.88"
6 Months,ELM,,959.20,1033.6,745,805,-154.2,-16.08,"9,590,831","41,927,135.00"
6 Months,CMCER,,8.25,9.14,6.89,6.93,-1.32,-16.00,"83,606,855","5,064,443.91"
6 Months,JADWA REIT ALHARAMAIN,,5.89,5.93,4.8,4.95,-0.94,-15.96,"13,902,653","177,134.74"
6 Months,TALCO,,44.05,45.62,32.88,37.1,-6.95,-15.78,"12,230,390","772,489.46"
6 Months,TAWUNIYA,,147.20,161,114.2,124,-23.2,-15.76,"50,834,332","27,352,734.90"
6 Months,JAMJOOM PHARMA,,174.00,181.3,141.9,146.6,-27.4,-15.75,"7,633,136","7,179,451.80"
6 Months,MEPCO,,28.10,31.52,23.19,23.69,-4.41,-15.69,"40,029,611","4,168,065.07"
6 Months,AICC,,11.74,12.62,9.7,9.9,-1.84,-15.67,"13,983,978","126,666.80"
6 Months,SADAFCO,,277.00,297.2,232.9,234.1,-42.9,-15.49,"3,600,964","7,154,729.50"
6 Months,SGS,,46.65,51.7,38.7,39.5,-7.15,-15.33,"44,482,108","21,411,956.42"
6 Months,JAZIRA TAKAFUL,,13.58,14,11.28,11.5,-2.08,-15.32,"10,373,803","284,714.11"
6 Months,SAUDI RE,,33.36,36.09,26.84,28.3,-5.06,-15.17,"105,963,357","27,136,781.54"
6 Months,TCC,,11.22,11.4,9.36,9.52,-1.7,-15.15,"26,275,259","255,523.17"
6 Months,ZOUJAJ,,44.10,45.92,36.12,37.5,-6.6,-14.97,"25,493,466","3,156,217.04"
6 Months,BANAN,,4.64,5.32,3.86,3.95,-0.69,-14.87,"35,985,849","288,893.85"
6 Months,2P,,10.31,10.77,8.45,8.78,-1.53,-14.84,"66,321,119","1,477,390.03"
6 Months,GAS,,16.24,17.99,13.4,13.88,-2.36,-14.53,"16,074,608","1,645,289.20"
6 Months,EMAAR EC,,13.02,14.76,10.72,11.14,-1.88,-14.44,"30,313,881","802,936.53"
6 Months,LUMI,,62.00,65,51.55,53.05,-8.95,-14.44,"15,464,042","1,995,332.00"
6 Months,SHAKER,,26.75,29.78,22.35,22.9,-3.85,-14.39,"31,566,083","7,617,291.78"
6 Months,SMASCO,,6.24,6.55,5.26,5.36,-0.88,-14.10,"184,104,767","3,631,822.71"
6 Months,CARE,,167.60,183.5,140.3,144.5,-23.1,-13.78,"10,750,911","6,618,680.80"
