Symbol,Company,symbol on tradingView
2220,MAADANIYAH,TADAWUL:2220
4291,NCLE,TADAWUL:4291
4090,TAIBA,TADAWUL:4090
2285,ARABIAN MILLS,TADAWUL:2285
8011,METLIFE AIG ANB,TADAWUL:8011
2010,SABIC,TADAWUL:2010
1301,ASLAK,TADAWUL:1301
1020,BJAZ,TADAWUL:1020
8210,BUPA ARABIA,TADAWUL:8210
6080,Bishah Agriculture,TADAWUL:6080
4331,ALJAZIRA REIT,TADAWUL:4331
8280,LIVA,TADAWUL:8280
4144,RAOOM,TADAWUL:4144
8200,SAUDI RE,TADAWUL:8200
8010,TAWUNIYA,TADAWUL:8010
1835,TAMKEEN,TADAWUL:1835
4261,THEEB,TADAWUL:4261
4192,ALSAIF GALLERY,TADAWUL:4192
7211,AZM,TADAWUL:7211
4082,MRNA,TADAWUL:4082
1212,ASTRA INDUSTRIAL,TADAWUL:1212
7040,GO TELECOM,TADAWUL:7040
4160,THIMAR,TADAWUL:4160
2210,NAMA CHEMICALS,TADAWUL:2210
2030,SARCO,TADAWUL:2030
6018,SPORT CLUBS,TADAWUL:6018
7204,2P,TADAWUL:7204
4332,JADWA REIT ALHARAMAIN,TADAWUL:4332
3091,JOUF CEMENT,TADAWUL:3091
4072,MBC GROUP,TADAWUL:4072
8110,WAFA Insurance,TADAWUL:8110
2340,ARTEX,TADAWUL:2340
7202,SOLUTIONS,TADAWUL:7202
4323,SUMOU,TADAWUL:4323
4012,ALASEEL,TADAWUL:4012
6070,ALJOUF,TADAWUL:6070
4145,OBEIKAN GLASS,TADAWUL:4145
4140,SIECO,TADAWUL:4140
4300,DAR ALARKAN,TADAWUL:4300
8012,JAZIRA TAKAFUL,TADAWUL:8012
8100,SAICO,TADAWUL:8100
4180,FITAIHI GROUP,TADAWUL:4180
4325,MASAR,TADAWUL:4325
2280,ALMARAI,TADAWUL:2280
6015,AMERICANA,TADAWUL:6015
4021,CMCER,TADAWUL:4021
1214,SHAKER,TADAWUL:1214
1834,SMASCO,TADAWUL:1834
8160,AICC,TADAWUL:8160
4146,GAS,TADAWUL:4146
3007,OASIS,TADAWUL:3007
4344,SEDCO CAPITAL REIT,TADAWUL:4344
8060,WALAA,TADAWUL:8060
4005,CARE,TADAWUL:4005
2270,SADAFCO,TADAWUL:2270
4162,ALMUNAJEM,TADAWUL:4162
4110,BATIC,TADAWUL:4110
4164,NAHDI,TADAWUL:4164
4031,SGS,TADAWUL:4031
1820,BAAN,TADAWUL:1820
6016,BURGERIZZR,TADAWUL:6016
7203,ELM,TADAWUL:7203
4014,EQUIPMENT HOUSE,TADAWUL:4014
2090,NGC,TADAWUL:2090
4080,SINAD HOLDING,TADAWUL:4080
3090,TCC,TADAWUL:3090
4290,ALKHALEEJ TRNG,TADAWUL:4290
4220,EMAAR EC,TADAWUL:4220
8120,GULF UNION ALAHLIA,TADAWUL:8120
